,券商,買進,賣出,買超,均買價,均賣價,券商,買進,賣出,買超,均買價,均賣價
100,凱基站前,31.0,16.05,14.95,104.69,105.06,元大永和,0.0,8.07,-8.07,0.0,105.0
101,元大西螺,16.0,1.05,14.95,104.66,105.0,永豐天母,1.12,9.15,-8.03,105.0,104.56
102,台新高雄,38.65,24.1,14.55,104.86,104.9,台新新營,14.0,22.02,-8.02,104.79,105.05
103,永豐北高,14.3,0.0,14.3,105.0,0.0,群益嘉義,5.0,13.0,-8.0,104.9,105.0
104,凱基東港,14.08,0.0,14.08,104.89,0.0,元大屏東,19.0,27.0,-8.0,105.03,105.0
105,台新松江,15.0,1.0,14.0,104.5,105.0,富邦陽明,9.12,17.11,-7.99,105.05,105.0
106,國票和平,14.0,0.0,14.0,105.0,0.0,元大經國,3.05,11.0,-7.95,105.16,105.0
107,台新三民,24.0,10.12,13.88,104.98,104.95,元大大天,6.11,14.03,-7.92,105.0,105.0
108,元大新莊,34.01,20.35,13.66,104.82,105.05,兆豐來福,2.1,10.0,-7.9,104.76,105.0
109,群益大甲,13.45,0.0,13.45,104.93,0.0,亞東板橋,4.12,12.0,-7.88,104.88,104.96
110,兆豐台南,16.1,3.0,13.1,104.94,105.0,富邦中壢,219.72,227.5,-7.78,105.0,105.02
111,國票九鼎,23.02,10.0,13.01,104.85,105.1,元大鹿港,2.1,9.78,-7.68,105.0,105.0
112,凱基員林,15.0,2.0,13.0,104.6,105.0,元大善化,28.1,35.71,-7.61,104.96,105.0
113,群益桃園,26.0,13.08,12.92,104.6,105.0,元富松德,8.4,16.0,-7.6,104.88,105.0
114,日盛台南,15.9,3.0,12.9,105.0,104.83,元大站前,61.7,69.0,-7.3,105.02,105.0
115,元大四維,24.2,12.0,12.2,104.98,105.0,元大和平,6.0,13.2,-7.2,105.17,105.04
116,元大蘆洲,27.15,15.0,12.15,105.0,104.97,元富新店,6.33,13.5,-7.17,104.92,104.96
117,凱基土城,21.0,9.01,11.99,105.0,104.83,元富屏東,0.01,7.02,-7.01,105.0,105.0
118,富邦新營,13.01,1.1,11.91,104.69,105.0,國票台中,1.0,8.0,-7.0,105.0,104.88
119,國泰新莊,17.35,5.5,11.85,104.89,105.0,永豐新店,1.0,8.0,-7.0,105.0,104.75
120,永豐敦南,16.0,4.2,11.8,105.31,104.88,富邦台東,1.01,8.0,-6.99,105.0,104.88
121,北城,18.05,6.3,11.75,104.89,105.0,永豐三重,1.05,8.0,-6.95,105.48,105.0
122,國票綜合,15.0,3.53,11.47,104.8,105.0,兆豐台中,6.1,13.0,-6.9,105.0,104.62
123,元富成功,13.18,2.14,11.03,104.96,105.03,元大高雄,2.15,9.0,-6.85,105.0,105.06
124,群益彰化,11.0,0.0,11.0,104.95,0.0,永豐敦北,1.4,8.04,-6.64,105.0,105.0
125,高橋,27.0,16.0,11.0,104.87,104.75,元大中山,5.45,12.01,-6.56,104.63,105.21
126,群益三重,13.0,2.0,11.0,104.92,105.0,陽信,0.0,6.5,-6.5,0.0,104.62
127,元富永和,12.0,1.0,11.0,104.54,105.0,國泰台南,12.04,18.32,-6.27,104.75,105.03
128,日盛士林,23.0,12.0,11.0,105.07,105.0,元大西屯,2.05,8.27,-6.22,104.76,105.0
129,元大北重,11.05,0.05,11.0,104.55,105.5,富邦敦南,1.0,7.04,-6.04,105.0,105.0
130,元富信義,11.07,0.18,10.89,105.0,105.0,凱基永和,2.0,8.0,-6.0,104.75,105.0
131,富邦仁愛,33.85,23.37,10.48,104.97,104.83,京城,0.0,6.0,-6.0,0.0,105.0
132,國泰高雄,34.44,24.09,10.35,104.96,105.0,元大上新,17.0,23.0,-6.0,105.21,105.0
133,元大大雅,11.11,1.0,10.11,104.59,105.0,康和內湖,1.0,7.0,-6.0,105.0,105.0
134,元大基孝,17.01,7.0,10.01,105.0,105.0,兆豐板橋,14.0,20.0,-6.0,104.64,105.0
135,群益萬華,23.01,13.0,10.01,105.0,105.0,富邦虎尾,0.0,6.0,-6.0,0.0,105.0
136,群益民權,15.0,5.0,10.0,105.03,105.0,統一三多,2.02,8.0,-5.98,105.0,105.0
137,華南台南,12.0,2.0,10.0,104.62,105.0,康和仁愛,4.03,10.0,-5.97,105.25,105.0
138,日盛中和,11.0,1.0,10.0,105.0,105.0,凱基和平,5.03,11.0,-5.97,105.0,105.0
139,元大歸仁,20.0,10.0,10.0,104.82,104.7,群益館前,1.05,7.0,-5.96,104.52,104.79
140,美好基隆,12.0,2.0,10.0,104.92,105.0,兆豐東門,0.05,6.0,-5.95,105.0,105.0
141,群益松山,10.02,0.02,9.99,105.0,105.0,元大北港,1.25,7.0,-5.75,105.0,105.36
142,永豐內湖,18.0,8.02,9.98,104.83,105.0,群益台中,6.45,12.0,-5.55,104.92,105.0
143,美好泰山,11.0,1.15,9.85,105.0,105.0,國泰板橋,46.64,51.84,-5.2,104.7,104.99
144,元大彰化,11.0,1.2,9.8,105.14,105.08,元富台中,3.08,8.2,-5.12,104.84,105.0
145,元大北投,11.53,2.3,9.23,105.44,105.0,兆豐復興,0.0,5.0,-5.0,0.0,105.0
146,富邦北港,12.06,3.0,9.06,105.0,105.0,日盛桃園,2.0,7.0,-5.0,105.0,104.79
147,永豐埔里,10.05,1.0,9.05,105.0,105.0,日盛景美,50.0,55.0,-5.0,105.11,104.55
148,群益北高,12.03,3.0,9.03,104.92,104.67,日盛土城,0.0,5.0,-5.0,0.0,105.0
149,康和石牌,30.03,21.0,9.03,104.77,105.0,企銀岡山,0.0,5.0,-5.0,0.0,105.0
150,玉山高雄,14.13,5.12,9.01,105.0,105.0,光和溪湖,6.0,11.0,-5.0,105.0,105.0
151,美好,15.0,6.0,9.0,105.0,105.0,群益新店,1.0,6.0,-5.0,105.0,105.08
152,元大桃園,19.0,10.0,9.0,105.18,105.0,兆豐三重,1.0,6.0,-5.0,105.0,105.0
153,華南岡山,9.0,0.0,9.0,104.94,0.0,兆豐員林,1.03,6.0,-4.97,104.51,104.83
154,華南鳳山,11.0,2.02,8.98,104.95,105.0,玉山南京,9.25,14.22,-4.97,104.62,105.0
155,永豐彰化,9.0,0.08,8.92,104.83,105.5,中信三重,1.2,6.17,-4.97,104.58,105.0
156,富邦板橋,19.42,10.8,8.62,105.0,104.95,元富嘉義,4.1,9.05,-4.95,104.76,105.0
157,永豐員林,12.0,3.44,8.56,105.0,105.0,元富潮洲,1.1,6.01,-4.91,105.0,105.0
